"","SBS7b","SBS15","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7c","SBS7d","SBS8","SBS9","SBS10a","SBS10b","SBS11","SBS12","SBS13","SBS14","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS20","SBS21","SBS22","SBS23","SBS24","SBS25","SBS26","SBS27","SBS28","SBS29","SBS30","SBS31","SBS32","SBS33","SBS34","SBS35","SBS36","SBS37","SBS38","SBS39","SBS40","SBS41","SBS42","SBS43","SBS44","SBS45","SBS46","SBS47","SBS48","SBS49","SBS50","SBS51","SBS52","SBS53","SBS54","SBS55","SBS56","SBS57","SBS58","SBS59","SBS60","SBS84","SBS85","SBS86","SBS87","SBS88","SBS89","SBS90"
"Sig1",0.926,0.324,0.231,0.394,0.374,0.165,0.503,0.385,0.825,0.126,0.129,0.127,0.185,0.045,0.356,0.743,0.093,0.037,0.07,0.082,0.06,0.016,0.186,0.528,0.167,0.071,0.045,0.643,0.203,0.277,0.096,0.097,0.031,0.128,0.812,0.623,0.435,0.053,0.04,0.372,0.112,0.112,0.051,0.167,0.47,0.157,0.454,0.056,0.228,0.042,0.246,0.216,0.005,0.01,0.439,0.162,0.036,0.075,0.072,0.081,0.04,0.212,0.314,0.02,0.021,0.352,0.116,0.117,0.272,0.051,0.262,0.03
"Sig2",0.892,0.399,0.307,0.457,0.433,0.196,0.566,0.482,0.805,0.118,0.155,0.156,0.206,0.056,0.42,0.749,0.11,0.068,0.096,0.112,0.077,0.018,0.206,0.571,0.204,0.083,0.041,0.651,0.24,0.322,0.112,0.102,0.031,0.163,0.808,0.594,0.486,0.07,0.051,0.37,0.13,0.142,0.082,0.253,0.522,0.192,0.501,0.059,0.29,0.071,0.26,0.244,0.007,0.024,0.462,0.192,0.052,0.115,0.085,0.095,0.053,0.24,0.408,0.027,0.034,0.405,0.142,0.195,0.367,0.063,0.31,0.024
"Sig3",0.878,0.43,0.311,0.45,0.365,0.183,0.518,0.475,0.855,0.11,0.123,0.136,0.178,0.047,0.381,0.717,0.084,0.034,0.091,0.093,0.034,0.007,0.2,0.536,0.199,0.066,0.036,0.597,0.229,0.288,0.091,0.099,0.03,0.156,0.797,0.536,0.447,0.07,0.042,0.327,0.123,0.108,0.084,0.176,0.474,0.169,0.466,0.035,0.275,0.075,0.217,0.223,0.01,0.026,0.463,0.146,0.051,0.108,0.082,0.078,0.045,0.22,0.341,0.038,0.026,0.374,0.111,0.135,0.313,0.056,0.266,0.024
"Sig4",0.874,0.44,0.323,0.356,0.407,0.192,0.552,0.517,0.78,0.116,0.123,0.151,0.216,0.06,0.418,0.73,0.119,0.05,0.106,0.107,0.088,0.024,0.215,0.515,0.216,0.087,0.054,0.636,0.253,0.319,0.124,0.1,0.026,0.167,0.776,0.568,0.452,0.091,0.052,0.364,0.132,0.144,0.089,0.204,0.482,0.188,0.515,0.092,0.326,0.077,0.263,0.226,0.02,0.035,0.443,0.182,0.048,0.119,0.106,0.118,0.055,0.218,0.338,0.049,0.057,0.413,0.122,0.143,0.361,0.064,0.302,0.029
"Sig5",0.406,0.862,0.556,0.185,0.441,0.278,0.571,0.841,0.358,0.091,0.155,0.267,0.273,0.117,0.3,0.472,0.215,0.033,0.212,0.128,0.209,0.036,0.334,0.4,0.324,0.163,0.066,0.516,0.432,0.403,0.23,0.125,0.033,0.348,0.507,0.339,0.456,0.132,0.052,0.296,0.227,0.236,0.143,0.252,0.465,0.21,0.592,0.165,0.599,0.149,0.398,0.173,0.037,0.063,0.359,0.289,0.117,0.163,0.171,0.121,0.128,0.217,0.292,0.115,0.047,0.514,0.123,0.153,0.382,0.09,0.354,0.031
