"Sample","Mechanism","Exposure","Prop"
"P3","SBS15",3.41198613381256e-05,1.26790575244531e-08
"P3","UV",2691.04078435749,0.999999987320942
"P4","SBS15",684.382728943298,0.506573750580364
"P4","UV",666.6204135591,0.493426249419636
"P5","SBS15",1.9331630098906,0.00123591376526433
"P5","UV",1562.22370959937,0.998764086234736
"P6","SBS15",641.933176038342,0.737873037296942
"P6","UV",228.044643438492,0.262126962703058
"P7","SBS15",185.71953695152,0.0825930080909391
"P7","UV",2062.8913472414,0.917406991909061
"P8","SBS15",249.880854208634,0.11659853549265
"P8","UV",1893.20656239434,0.88340146450735
"P9","SBS15",2.87627406670692,0.00120998114564525
"P9","UV",2374.24677207222,0.998790018854355
